bin_left,bin_right,x_center,dns_count_RAW,phi_RAW,dns_count_NORM,phi_NORM
-48.98296092316525,-40.92691185343722,-44.954936388301235,10428,8.518713034089355,10428,49.98404365511169
-40.92691185343722,-32.87086278370907,-36.898887318573145,12144,6.65898951192325,12144,52.66072047366374
-32.87086278370907,-24.81481371398104,-28.842838248845055,14995,5.298001636701071,14995,60.25902907279392
-24.81481371398104,-16.758764644253006,-20.786789179117022,18315,3.7993194966997463,18315,72.72654773863447
-16.758764644253006,-8.70271557452486,-12.730740109388933,22270,3.25860520281233,22270,88.37270459404799
-8.70271557452486,-0.6466665047968263,-4.674691039660843,25052,2.7821449616477847,25052,143.23512991148954
-0.6466665047968263,7.409382564931207,3.38135803006719,18812,3.0566586836750287,18812,94.9888076824734
7.409382564931207,15.465431634659353,11.43740709979528,12847,5.176631291975815,12847,39.25140654939894
15.465431634659353,23.521480704387386,19.49345616952337,9717,5.141725360608009,9717,28.120482738572253
23.521480704387386,31.57752977411542,27.549505239251403,7497,6.112262914601885,7497,23.180115499004458
31.57752977411542,39.633578843843566,35.60555430897949,6310,6.351103310308169,6310,18.70885689289997
39.633578843843566,47.6896279135716,43.66160337870758,5251,8.24477040264041,5251,17.43455843498122
47.6896279135716,55.74567698329963,51.717652448435615,4473,10.068805356301878,4473,16.36124850332552
55.74567698329963,63.801726053027664,59.77370151816365,3761,10.466624845950024,3761,14.61376238747714
63.801726053027664,71.85777512275581,67.82975058789174,3254,11.33544504849971,3254,14.36443669402619
71.85777512275581,79.91382419248384,75.88579965761983,2899,12.929788296623144,2899,13.411601253604267
79.91382419248384,87.96987326221188,83.94184872734786,2655,14.557550681652,2655,13.566253998171216
87.96987326221188,96.02592233194002,91.99789779707595,2297,14.898157005803899,2297,12.787451968080404
96.02592233194002,104.08197140166806,100.05394686680404,2072,14.683497608325755,2072,12.264996187321044
104.08197140166806,112.13802047139609,108.10999593653207,1901,16.74133201774241,1901,11.891088852582666
112.13802047139609,120.19406954112424,116.16604500626016,1658,19.065802188627192,1658,11.885856158968641
120.19406954112424,128.25011861085227,124.22209407598825,1561,19.409152207977318,1561,10.7668025048679
