bin_left,bin_right,x_center,dns_count,dns_phi,aibm_count,aibm_phi
-250.38418766636704,-242.32813859663895,-246.356163131503,682,56.00023168325054,682,44.57189596893331
-242.32813859663895,-234.27208952691086,-238.3001140617749,764,60.31984812447135,764,46.20030752184693
-234.27208952691086,-226.21604045718283,-230.24406499204684,801,54.561062424546186,801,40.65217752597773
-226.21604045718283,-218.15999138745474,-222.18801592231878,840,51.77509745119166,840,38.38705561213114
-218.15999138745474,-210.1039423177267,-214.13196685259072,928,44.2604862316794,928,33.318035066956114
-210.1039423177267,-202.04789324799856,-206.07591778286263,1047,42.91838723308548,1047,30.66407443033688
-202.04789324799856,-193.99184417827053,-198.01986871313454,1054,46.052975265014474,1054,30.863812461506882
-193.99184417827053,-185.9357951085425,-189.9638196434065,1187,46.657268932575064,1187,29.207851867019404
-185.9357951085425,-177.87974603881435,-181.90777057367842,1343,37.34058034296802,1343,25.309813178988268
-177.87974603881435,-169.8236969690863,-173.85172150395033,1426,35.55741617688088,1426,28.699955523513616
-169.8236969690863,-161.76764789935828,-165.7956724342223,1606,38.93871480294636,1606,25.911662060879827
-161.76764789935828,-153.71159882963013,-157.7396233644942,1764,28.67443934700061,1764,21.868668978945283
-153.71159882963013,-145.6555497599021,-149.68357429476612,1936,31.944129465956163,1936,20.034788301545788
-145.6555497599021,-137.59950069017407,-141.62752522503808,2136,30.107191590721342,2136,19.637407742558484
-137.59950069017407,-129.54345162044592,-133.57147615531,2423,22.492741192054865,2423,16.981931203850603
-129.54345162044592,-121.48740255071789,-125.5154270855819,2650,22.577170931919046,2650,16.509727621351082
-121.48740255071789,-113.43135348098986,-117.45937801585387,2813,26.387551443307675,2813,17.21037555704107
-113.43135348098986,-105.37530441126171,-109.40332894612578,3261,20.82406549908949,3261,12.593430949605317
-105.37530441126171,-97.31925534153368,-101.34727987639769,3726,19.043069438567265,3726,12.497340761347525
-97.31925534153368,-89.26320627180564,-93.29123080666966,4302,17.56654802585281,4302,10.27268010963953
-89.26320627180564,-81.2071572020775,-85.23518173694157,4722,13.755400767002651,4722,8.850991458834857
-81.2071572020775,-73.15110813234946,-77.17913266721348,5476,12.3037169337696,5476,8.476525343275647
-73.15110813234946,-65.09505906262143,-69.12308359748545,6289,11.795680895855616,6289,7.090377169758097
-65.09505906262143,-57.039009992893284,-61.06703452775736,7193,9.686734359314622,7193,6.3946896064172964
-57.039009992893284,-48.98296092316525,-53.01098545802927,8581,8.476049421342077,8581,5.758936836270722
-48.98296092316525,-40.92691185343722,-44.954936388301235,10428,8.518713034089357,10428,4.718214441585244
-40.92691185343722,-32.87086278370907,-36.898887318573145,12144,6.658989511923248,12144,3.5754412684081123
